GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
backend,at.halasi.backend,TaskService,17,18,0,0,6,5,1,3,1,3
backend,at.halasi.backend,TaskApplication,8,0,0,0,3,0,2,0,2,0
backend,at.halasi.backend,TaskController,31,0,2,0,10,0,6,0,5,0
backend,at.halasi.backend,TaskDTO,9,0,0,0,1,0,1,0,1,0
